Distribuidora,Comunidad Autónoma,Provincia,SET distribución,Tensión (kV),Latitud,Longitud,UTM x,UTM y,Huso UTM,Banda
Endesa,Andalucía,Almería,AGUADULC,66,36.81353065,-2.5989412,535771.6682,4074262.065,30,S
Endesa,Andalucía,Almería,AGUADULC,20,36.81353065,-2.5989412,535771.6682,4074262.065,30,S
Endesa,Andalucía,Almería,ALBOX,66,37.36760039,-2.14275813,575906.0091,4135997.397,30,S
Endesa,Andalucía,Almería,ALBOX,25,37.36760039,-2.14275813,575906.0091,4135997.397,30,S
Endesa,Andalucía,Almería,ALCOLEA,66,36.96945935,-2.96340343,503257.5208,4091485.031,30,S
Endesa,Andalucía,Almería,ALCOLEA,20,36.96945935,-2.96340343,503257.5208,4091485.031,30,S
Endesa,Andalucía,Almería,ANDARAX,132,36.83972685,-2.43184366,550658.4574,4077243.588,30,S
Endesa,Andalucía,Almería,ANDARAX,66,36.83972685,-2.43184366,550658.4574,4077243.588,30,S
Endesa,Andalucía,Almería,ANDARAX,20,36.83972685,-2.43184366,550658.4574,4077243.588,30,S
Endesa,Andalucía,Almería,BELEN,66,36.85036533,-2.47457758,546841.6566,4078401.93,30,S
Endesa,Andalucía,Almería,BELEN,20,36.85036533,-2.47457758,546841.6566,4078401.93,30,S
Endesa,Andalucía,Almería,BENAHADU,132,36.90854419,-2.46580356,547587.7581,4084860.186,30,S
Endesa,Andalucía,Almería,BENAHADU,66,36.90854419,-2.46580356,547587.7581,4084860.186,30,S
Endesa,Andalucía,Almería,BENAHADU,20,36.90854419,-2.46580356,547587.7581,4084860.186,30,S
Endesa,Andalucía,Almería,BERJA,66,36.83278389,-2.9234337,506827.458,4076325.54,30,S
Endesa,Andalucía,Almería,BERJA,20,36.83278389,-2.9234337,506827.458,4076325.54,30,S
Endesa,Andalucía,Almería,CANTORIA,66,37.36742394,-2.24048642,567252.4975,4135903.714,30,S
Endesa,Andalucía,Almería,CARBONER,132,36.97669709,-1.90881972,597120.1889,4092843.612,30,S
Endesa,Andalucía,Almería,CARBONER,20,36.97669709,-1.90881972,597120.1889,4092843.612,30,S
Endesa,Andalucía,Almería,COSARIO,66,36.79550484,-2.68132685,528430.0771,4072234.805,30,S
Endesa,Andalucía,Almería,COSARIO,20,36.79550484,-2.68132685,528430.0771,4072234.805,30,S
Endesa,Andalucía,Almería,CUMBRES,66,36.72693389,-2.76468033,521012.4705,4064606.761,30,S
Endesa,Andalucía,Almería,CUMBRES,20,36.72693389,-2.76468033,521012.4705,4064606.761,30,S
Endesa,Andalucía,Almería,DESALADO,66,36.81610279,-2.42481069,551301.3135,4074626.685,30,S
